the	3101
a	2660
you	2614
to	2202
i	1921
and	1468
when	1370
is	1249
of	1194
in	1189
your	1096
my	886
for	841
it	743
this	700
are	692
that	601
like	550
with	546
be	537
have	528
on	524
but	520
me	516
people	507
not	493
they	486
we	484
if	421
at	419
i'm	418
don't	410
so	398
all	388
black	374
what	372
do	370
just	367
you're	349
white	348
how	341
get	336
can	334
up	317
out	312
it's	297
was	296
no	295
one	271
an	265
from	264
them	256
he	250
will	243
his	241
about	239
she	232
see	230
their	228
muslim	224
her	221
got	201
why	197
look	195
make	194
who	194
know	192
fuck	192
because	188
as	186
want	183
go	182
time	181
muslims	175
or	165
can't	165
shit	165
after	164
only	163
day	162
new	162
our	159
has	159
kill	159
then	156
now	154
man	154
by	152
us	148
think	143
back	141
trump	133
goat	131
there	130
take	128
did	127
more	127
women	124
never	123
some	123
love	122
fucking	120
good	120
being	114
here	114
where	114
than	113
still	112
going	111
need	110
say	110
into	110
first	109
girl	109
am	109
men	108
hate	105
him	104
country	103
life	103
off	103
kids	101
too	101
said	101
were	101
these	100
had	97
should	97
let	96
told	96
stop	95
gonna	95
been	94
before	93
tranny	93
jews	92
home	91
dishwasher	91
even	90
give	90
america	89
way	89
tell	89
call	88
would	88
over	88
racist	88
stupid	88
someone	88
happy	86
find	85
that's	85
keep	84
its	82
trash	82
years	82
right	81
doesn't	80
says	80
everyone	79
other	79
ass	79
''	78
really	78
old	78
come	77
could	77
gay	76
little	75
islam	75
last	74
free	73
put	72
didn't	72
every	71
i'll	71
much	70
oh	69
im	68
those	68
bomb	67
something	67
he's	67
american	67
ever	67
always	66
school	65
isis	65
getting	65
?	65
wife	64
down	64
any	64
sex	64
what's	63
year	63
made	62
better	62
&	62
again	61
best	61
jewish	61
another	60
does	60
eat	60
obama	60
illegal	59
same	59
face	59
wrong	59
baby	59
guy	59
god	59
gets	59
friend	58
bitch	58
there's	57
today	57
makes	57
friends	56
children	56
gas	56
kid	56
dick	56
woman	55
own	55
child	55
started	55
trying	54
car	53
3	53
guys	53
left	52
religion	52
please	52
many	52
	52
anything	51
killed	51
called	51
show	51
mean	50
difference	50
between	50
found	50
having	50
bad	49
she's	49
problem	49
hear	49
meanwhile	49
club	49
isn't	49
play	49
allah	49
million	48
hard	48
while	48
strip	48
son	47
i've	47
doing	47
person	47
long	46
talk	46
most	46
away	46
forget	46
killing	46
sure	46
let's	46
great	46
they're	46
me:	46
wants	45
remember	45
part	45
mom	45
well	45
start	44
dont	44
turn	44
finally	44
congress	44
world	44
wanna	43
help	43
ask	43
talking	43
might	43
wear	42
"	42
boy	42
making	42
done	42
enough	42
real	42
fucked	41
work	41
house	41
matter	41
thing	41
until	41
walk	41
rape	41
6	40
government	40
nothing	40
big	40
girls	40
we're	40
feeling	40
jew	39
believe	39
coming	39
run	39
live	39
food	39
president	39
looks	39
mouth	39
birthday	39
2	38
things	38
party	38
may	38
"i	38
peace	37
blow	37
fun	37
comes	37
hey	37
smell	37
girlfriend	37
ilhan	37
already	37
!	37
once	37
feel	37
u	37
saying	37
goats	37
group	37
family	36
gives	36
both	36
must	36
pick	36
actually	36
shoot	36
looking	36
dog	35
post	35
cute	35
yourself	35
ain't	35
head	35
wait	35
yes	35
each	35
money	35
hitler	34
without	34
suck	34
kind	34
dad	34
you!	34
liberals	34
history	33
mexicans	33
gave	33
pay	33
stole	33
send	33
mental	33
fight	33
dogs	33
americans	32
two	32
islamic	32
which	32
game	32
job	32
you've	32
during	32
camp	32
use	32
used	31
eye	31
damn	31
ones	31
hot	31
police	31
went	31
instead	31
name	31
polish	30
nobody	30
stand	30
very	30
asked	30
special	30
means	30
thought	30
next	30
gun	30
nazi	30
hit	30
hell	30
terrorist	30
everything	29
watch	29
1	29
keeps	29
yo	29
slavery	29
omar	29
born	29
democrats	29
hand	29
ya	29
bitches	29
father	29
brother	29
leave	29
guns	29
try	29
bro	29
public	29
oven	28
beat	28
cat	28
memes	28
behind	28
goes	28
ready	28
tired	28
christians	28
wearing	28
slaves	28
against	28
5	27
hillary	27
change	27
retarded	27
else	27
anyone	27
thats	27
dead	27
offended	27
boys	27
welcome	27
since	27
full	27
2019	27
beautiful	27
aren't	27
become	27
shut	27
sister	27
attack	27
die	27
removes	26
